contest_number,passes,total_attempts,success_rate
158.0,1,6,16.666666666666664
680.0,3,18,16.666666666666664
65.0,7,24,29.166666666666668
669.0,2,6,33.33333333333333
117.0,11,30,36.666666666666664
86.0,11,30,36.666666666666664
679.0,5,12,41.66666666666667
41.0,13,30,43.333333333333336
15.0,9,18,50.0
702.0,6,12,50.0
697.0,3,6,50.0
686.0,9,18,50.0
124.0,16,30,53.333333333333336
144.0,10,18,55.55555555555556
96.0,20,36,55.55555555555556
104.0,14,24,58.333333333333336
25.0,21,36,58.333333333333336
16.0,18,30,60.0
109.0,18,30,60.0
691.0,8,12,66.66666666666666
72.0,8,12,66.66666666666666
165.0,8,12,66.66666666666666
142.0,8,12,66.66666666666666
32.0,32,48,66.66666666666666
683.0,12,18,66.66666666666666
20.0,20,30,66.66666666666666
676.0,8,12,66.66666666666666
151.0,25,36,69.44444444444444
40.0,21,30,70.0
57.0,17,24,70.83333333333334
661.0,17,24,70.83333333333334
62.0,17,24,70.83333333333334
7.0,22,30,73.33333333333333
47.0,18,24,75.0
121.0,18,24,75.0
71.0,18,24,75.0
101.0,36,48,75.0
127.0,27,36,75.0
83.0,18,24,75.0
705.0,18,24,75.0
660.0,23,30,76.66666666666667
34.0,28,36,77.77777777777779
664.0,14,18,77.77777777777779
115.0,33,42,78.57142857142857
129.0,19,24,79.16666666666666
708.0,19,24,79.16666666666666
46.0,19,24,79.16666666666666
687.0,19,24,79.16666666666666
145.0,24,30,80.0
27.0,24,30,80.0
30.0,24,30,80.0
120.0,24,30,80.0
112.0,29,36,80.55555555555556
156.0,10,12,83.33333333333334
672.0,15,18,83.33333333333334
693.0,5,6,83.33333333333334
146.0,20,24,83.33333333333334
143.0,20,24,83.33333333333334
137.0,25,30,83.33333333333334
61.0,20,24,83.33333333333334
78.0,15,18,83.33333333333334
701.0,5,6,83.33333333333334
699.0,5,6,83.33333333333334
51.0,20,24,83.33333333333334
113.0,26,30,86.66666666666667
8.0,26,30,86.66666666666667
709.0,26,30,86.66666666666667
23.0,21,24,87.5
688.0,21,24,87.5
671.0,21,24,87.5
3.0,21,24,87.5
92.0,32,36,88.88888888888889
675.0,16,18,88.88888888888889
665.0,16,18,88.88888888888889
666.0,16,18,88.88888888888889
662.0,16,18,88.88888888888889
125.0,27,30,90.0
106.0,27,30,90.0
696.0,11,12,91.66666666666666
152.0,11,12,91.66666666666666
167.0,33,36,91.66666666666666
128.0,33,36,91.66666666666666
710.0,11,12,91.66666666666666
677.0,11,12,91.66666666666666
58.0,22,24,91.66666666666666
108.0,28,30,93.33333333333333
141.0,34,36,94.44444444444444
695.0,17,18,94.44444444444444
148.0,17,18,94.44444444444444
685.0,17,18,94.44444444444444
130.0,29,30,96.66666666666667
53.0,29,30,96.66666666666667
690.0,6,6,100.0
689.0,18,18,100.0
704.0,6,6,100.0
707.0,12,12,100.0
692.0,12,12,100.0
700.0,12,12,100.0
698.0,12,12,100.0
2.0,24,24,100.0
681.0,12,12,100.0
13.0,18,18,100.0
29.0,18,18,100.0
36.0,18,18,100.0
49.0,24,24,100.0
59.0,24,24,100.0
79.0,36,36,100.0
82.0,42,42,100.0
102.0,36,36,100.0
111.0,24,24,100.0
153.0,12,12,100.0
155.0,18,18,100.0
157.0,12,12,100.0
159.0,6,6,100.0
166.0,6,6,100.0
663.0,6,6,100.0
667.0,12,12,100.0
673.0,6,6,100.0
674.0,12,12,100.0
678.0,12,12,100.0
684.0,18,18,100.0
711.0,12,12,100.0
