row_idx,description,caption,element,pass_rate,num_models_passed,num_models_total
6,"In a bedroom, a couple is in bed. The wife is sitting upright, while the husband who is speaking is laying down. Next to the bed is a nightstand under a window. Through the window is a view of outer space, with all of Earth visible. The window is open with the curtains drawn.",It's just the wind.,This is a play on words on the dual meaning of wind to mean either typical wind or solar wind.,0.0,0,12
25,"In a social setting, several people are standing in a room wearing business attire and holding drinks. Two couples face each other, but the man in one of the couples is dressed in a full, vintage-style deep-sea diving suit, complete with a helmet and a hose attached to the back, looking somewhat uncomfortable.","We don't have much of a sex life, but he's good at finding keys in the swimming pool.","The woman implies that the man never takes off the suit, even at home",0.0,0,12
148,"On a frozen lake, a man sits on a bucket next to an ice-fishing hut, holding a fishing rod. Instead of a traditional round hole, the ice has been cut into a person-shaped silhouette, with the fishing line lowered into the outline. Nearby, another man stands watching the scene, bundled up in winter clothing.",He's got a new fish-whispering technique.,"A third person is implied to be under the ice, suggested by the human-shaped hole.",0.0,0,12
299,"In a grand church, there is a large bar stocked with bottles of liquor. A few patrons are seated at the bar, and sunbeams stream through the stained glass windows, dramatically illuminating one of the patrons. A couple dressed in formal church attire stands at the open doors, with the husband speaking.",Finally—a faith-based initiative I can embrace.,The government funding the church to run a bar would be illegal and absurd,0.0,0,12
349,"In an unusually large and sparsely furnished room, a circular, solid barrier decorated with stars encloses a small seating area. Inside the enclosure, two individuals, appearing very small in comparison to the vast room, sit in armchairs, each holding a glass of wine, seemingly engaged in a casual conversation. The enclosed space includes side tables with lamps, emphasizing a cozy yet isolated atmosphere within the expansive and minimally decorated surroundings.",The people who lived here before had lions.,"Lions are indeed cats, and suit the circus setting",0.0,0,12
385,"In a stone-walled balcony scene, a robed king wearing a crown stands within an arched recess. In front of him, two attendants in medieval-style clothing each hold large baskets and scatter paper currency down to a crowd with outstretched arms. Two other men, also in medieval clothing, stand off to the side on the balcony, speaking to each other.",Looks like another ye olde stimulus package.,The caption is sarcastically criticizing stimulus packages,0.0,0,12
431,"Two golfers stand on a grassy field, each holding golf clubs in bags slung over their shoulders. However, instead of a golf course, they are looking at a field filled with barbed wire, tanks, and machine guns. A golf flag is visible in the background, alongside scattered trees and clouds.","I support our troops as much as the next guy, but do we have to let them play through?","Doing favors for military members is a common practice, but can sometimes be taken advantage of",0.0,0,12
433,"A pregnant woman, wearing primitive clothing, sits on a large tree branch or vine, holding her belly and speaking. Tarzan, shirtless and wearing a loincloth, stands nearby, leaning against a tree. The background features trees and jungle foliage.","Fine. If it's a boy, we'll call him Boy. But if it's a girl I want to call her McKenzie.",Couples deciding who gets to choose the name based on the gender is a common situation,0.0,0,12
436,"On the ledge of a tall building in an urban cityscape, a man in a suit standing inside a window speaks to three individuals precariously standing on the ledge: a clergyman, a police officer, and a firefighter, all dressed in their respective uniforms, and positioned like they might jump off.",Excuse me—does this joke need a lawyer?,"This implies that the man in the suit (likely a lawyer) might also be suicidal, commenting on the profession",0.0,0,12
462,"A person wearing a helmet and a harness labeled “PARACHUTE” falls off the edge of a cliff, flailing their arms. Another person stands on the cliff behind him, pushing them off the edge, speaking with a smile. The person pushing is wearing a tie.",Great coaching is about helping others move forward.....,This would be extremely dangerous for the first time without instruction,0.0,0,12
471,"Inside a workshop-like room, three elves in pointy hats sit at a long table with open laptop computers. The middle elf appears distressed and is speaking, while the two elves on either side look toward him.","It’s from Santa, and it goes way, way beyond jolly.",This frames Santa as a boss making an inappropriate advance on an employee,0.0,0,12
484,"A title reading “Inside the FDA” hangs above a lab-like room. Two people in lab coats stand in the corner reviewing notes on a clipboard. At a central table, a man in a lab coat sits facing forward, with piles of pills and some vials and a syringe in front of him, speaking. Another man, also in a lab coat, stands beside him, holding a clipboard.",These medicines all taste pretty good—let’s approve them.,Taste-testing each medicine would be dangerous for the tester,0.0,0,12
495,"Inside a workshop-like room, three elves in pointy hats sit at a long table with open laptop computers. The middle elf appears distressed and is speaking, while the two elves on either side look toward him.","It’s from Santa, and it goes way, way beyond jolly.","""Beyond Jolly"" is a Santa-specific way of describing romantic advances",0.0,0,12
15,"In a restaurant, a man and a woman are sitting down to eat dressed in nice clothing. The man is leaning over the table with his hand on a glass looking at the woman with a soft smile. However, the man is bald, and has a cartoonishly large forehead, with the outline of the woman visible on his forehead. The woman, siting upright, is speaking.","Well, it's a lovely gesture, but I still think we should start seeing other people.","This implies that the image on his forehead is a tattoo, as getting a tattoo of your significant other is a common practice",0.08333333333333333,1,12
