idx,cultural reference,prompt_tokens,completion_tokens
1,False,184,83
2,False,178,147
3,False,182,19
4,False,187,19
5,False,174,83
6,False,195,147
7,False,172,19
8,True,175,147
9,False,190,83
10,False,175,83
11,False,181,83
12,False,197,83
13,False,180,83
14,False,172,83
16,False,183,83
17,True,189,211
18,True,183,83
20,False,189,83
21,False,176,19
22,False,177,19
23,False,173,147
24,True,174,147
26,True,185,83
27,False,176,83
28,False,180,19
29,False,182,83
30,False,166,83
31,True,183,83
32,False,173,83
33,False,185,83
34,False,176,83
36,False,173,83
37,False,192,19
38,True,180,211
39,False,181,147
40,False,172,147
41,False,180,19
42,False,171,147
43,True,169,19
44,True,189,275
46,True,183,83
47,False,171,83
48,True,170,83
49,True,186,339
50,False,180,211
51,True,197,19
52,False,183,83
53,True,182,19
54,False,181,83
55,False,186,83
56,False,170,19
57,False,178,147
58,False,171,19
59,False,195,147
60,True,174,83
61,True,195,275
62,True,169,83
63,False,177,83
64,False,168,83
65,True,186,467
66,False,184,83
67,False,179,211
68,True,192,83
69,False,174,83
70,False,170,19
71,True,188,83
72,True,166,19
73,False,182,19
74,False,188,83
75,False,185,19
76,False,189,83
77,False,176,147
78,False,194,83
79,True,167,83
80,False,192,83
81,False,192,83
82,False,185,147
83,True,179,147
84,False,172,83
85,False,171,19
86,False,171,403
87,True,179,211
88,False,183,83
89,False,174,147
92,False,187,147
93,False,171,83
94,False,174,147
95,False,183,83
96,False,177,83
97,False,188,83
98,True,194,211
99,True,179,83
100,True,166,147
101,False,190,147
102,False,168,19
103,False,180,19
104,False,177,147
105,True,185,211
106,True,175,211
107,True,186,339
108,False,165,83
109,True,193,83
110,True,198,83
112,True,173,83
113,False,197,147
114,False,171,147
115,True,206,83
116,False,189,83
117,True,169,83
118,True,168,147
119,False,182,83
120,False,181,83
121,True,182,83
122,True,168,19
123,False,191,83
124,True,165,83
125,True,191,211
126,True,164,83
127,True,166,147
128,False,177,83
129,True,185,275
130,True,169,19
131,False,182,211
132,False,178,83
133,False,176,83
134,True,176,19
135,True,175,147
136,False,188,83
138,False,181,83
139,False,175,83
140,False,177,147
141,True,190,83
142,True,173,83
143,True,176,83
144,False,171,83
145,True,171,83
146,True,177,83
147,True,170,83
148,False,176,83
149,False,171,19
150,False,186,211
151,False,200,83
152,True,165,147
153,True,174,275
154,True,177,147
155,True,171,83
156,False,169,83
157,False,192,83
158,False,174,83
159,False,173,83
160,False,170,83
161,False,177,83
162,False,180,83
163,True,179,83
164,False,170,147
165,False,193,83
166,True,176,83
167,False,170,83
168,False,169,211
169,False,170,147
170,False,175,339
171,True,175,211
172,False,163,19
173,False,169,211
174,True,174,147
175,True,174,275
176,False,176,83
177,False,183,83
178,False,164,83
179,False,183,83
180,False,173,83
181,True,180,147
182,False,185,83
183,False,177,83
184,False,162,83
185,True,172,147
186,True,179,147
187,False,172,83
188,True,176,83
189,True,178,83
190,False,176,83
191,False,174,19
192,False,168,147
193,False,173,83
194,True,173,83
195,True,178,19
196,True,175,83
197,True,187,83
198,False,188,83
199,False,183,19
200,True,169,83
201,True,171,211
202,True,173,83
203,True,174,147
204,True,170,147
205,True,171,211
206,True,174,83
207,True,165,83
208,True,180,275
209,True,170,83
210,True,162,147
211,True,187,147
212,True,172,19
213,False,164,19
214,False,171,83
215,False,181,83
216,True,175,211
217,False,168,83
218,False,187,19
219,True,165,83
220,True,177,211
221,False,182,147
222,True,167,211
223,False,174,83
224,True,182,275
225,False,173,83
226,False,172,83
227,False,169,19
228,True,170,83
229,False,164,83
230,False,169,19
231,False,170,19
232,True,178,83
233,True,172,275
234,False,182,83
235,False,180,83
236,False,170,83
238,True,177,275
239,False,176,83
240,False,170,83
241,False,168,83
242,False,180,83
243,False,184,83
244,True,172,83
245,False,181,83
246,True,176,83
247,True,180,147
248,False,176,19
249,True,176,83
250,True,167,19
251,False,176,83
252,True,174,83
253,True,171,19
254,False,184,83
255,False,177,147
256,False,173,83
257,False,172,147
258,True,177,211
259,True,173,147
260,True,171,83
261,False,181,19
262,False,184,83
263,True,168,339
264,False,180,83
265,False,181,83
266,False,185,83
267,False,176,83
268,False,165,83
269,False,170,19
270,False,169,83
271,False,171,147
272,True,179,531
273,True,164,147
274,False,166,83
275,False,171,147
276,True,176,531
277,False,187,147
278,True,169,147
279,False,179,147
280,False,177,19
281,False,164,83
282,False,170,19
283,False,175,83
284,False,183,19
285,False,182,19
286,False,208,83
287,True,179,83
288,False,194,147
289,True,196,83
290,False,179,83
291,True,172,147
292,False,175,19
292,True,182,211
293,False,175,83
294,False,183,83
295,False,179,83
296,True,175,403
298,False,182,147
299,False,182,83
300,True,170,19
301,True,170,19
302,True,168,83
303,False,175,83
304,True,180,83
305,False,179,147
306,False,171,147
307,False,174,19
308,True,170,211
309,False,177,83
310,True,170,147
311,False,177,83
312,False,186,147
313,False,193,83
314,False,172,83
315,False,178,147
316,True,198,147
317,True,188,211
318,True,159,83
319,True,169,275
320,True,182,147
321,False,184,147
322,False,181,83
323,False,187,83
324,False,184,83
325,False,174,83
326,False,167,83
327,False,168,147
328,False,168,19
330,True,181,339
331,False,168,19
332,False,177,83
333,False,185,83
334,False,183,83
335,True,193,147
336,True,191,19
337,True,192,83
338,False,196,83
339,False,182,83
340,True,175,83
341,False,187,83
342,False,177,467
343,True,175,211
344,True,182,339
345,True,186,147
346,True,184,147
347,False,169,83
348,False,161,83
349,False,172,147
352,False,180,83
353,False,183,83
354,False,168,83
355,False,176,83
357,False,197,83
358,False,174,83
359,False,183,339
360,False,191,83
361,True,199,211
362,True,182,211
363,True,175,275
364,True,166,275
365,True,173,915
366,True,164,211
367,False,167,83
368,False,181,83
369,False,182,83
370,False,174,211
371,True,179,19
372,False,193,83
373,False,168,19
374,False,173,83
375,False,180,19
376,False,179,83
377,False,171,83
378,False,197,83
380,False,177,147
381,False,165,147
382,True,186,147
383,False,180,147
384,False,167,83
385,True,174,211
386,True,186,83
387,False,198,211
388,False,181,83
389,False,171,147
390,True,179,147
391,False,176,147
392,True,185,147
393,True,181,83
394,False,177,83
395,False,172,19
396,False,172,83
397,True,182,147
398,True,195,83
399,False,169,83
400,True,167,147
401,True,164,147
402,False,177,211
403,True,168,83
403,False,184,147
404,False,174,19
405,False,171,211
406,False,171,83
407,True,174,211
408,False,179,19
409,False,170,83
410,False,173,83
411,False,171,211
412,True,167,83
413,False,170,467
414,False,173,19
415,True,166,83
416,False,174,83
417,False,176,83
418,True,167,339
419,False,175,83
420,False,170,83
421,False,176,147
422,True,187,211
423,True,174,83
424,True,173,275
425,False,173,83
426,True,182,83
427,False,175,147
428,True,165,147
429,True,175,275
430,False,175,147
431,False,177,83
432,True,173,211
434,False,157,211
435,False,162,19
437,False,174,83
438,False,172,19
439,True,165,83
440,False,168,83
441,False,165,19
443,False,176,83
444,False,177,83
445,True,170,83
446,False,167,83
447,False,175,19
448,False,180,83
449,True,185,211
450,False,199,339
451,False,188,147
452,False,186,83
453,False,176,83
454,True,180,275
455,False,174,147
456,False,168,83
457,False,173,403
458,True,173,83
460,False,171,275
461,False,168,83
462,False,182,83
463,True,171,19
464,False,177,19
465,False,187,83
466,False,177,83
467,False,176,83
468,True,167,83
469,False,166,83
470,False,179,19
471,False,195,83
472,False,184,83
473,True,173,147
474,False,182,83
475,True,175,83
476,True,184,147
477,False,177,83
478,False,178,83
479,False,184,83
480,False,167,83
481,False,167,147
482,False,173,467
483,True,170,83
484,False,178,19
485,False,176,147
486,False,188,83
487,False,177,83
488,False,174,19
489,False,179,19
490,True,175,467
491,False,181,19
492,True,170,147
493,True,183,147
494,True,176,147
495,False,187,147
496,False,177,83
497,False,180,147
498,False,184,147
499,True,178,83
500,False,174,83
501,False,175,19
502,False,177,83
503,False,169,19
504,False,182,83
505,False,186,147
506,False,185,83
507,False,175,83
508,False,173,83
509,False,176,147
510,True,172,147
511,True,182,83
512,False,179,83
513,False,169,19
514,True,176,83
515,False,195,19
516,False,173,83
517,True,183,147
