idx,wordplay,prompt_tokens,completion_tokens
1,False,182,19
2,False,176,19
3,False,180,147
4,False,185,83
5,False,172,83
6,False,193,147
7,True,170,19
8,True,173,83
9,False,188,83
10,False,173,19
11,False,179,83
12,False,195,211
13,False,178,83
14,False,170,19
16,False,181,83
17,False,187,211
18,False,181,83
20,False,187,83
21,False,174,19
22,True,175,83
23,False,171,211
24,False,172,19
26,False,183,147
27,True,174,83
28,False,178,211
29,False,180,83
30,True,164,211
31,False,181,147
32,True,171,83
33,False,183,83
34,False,174,83
36,False,171,211
37,True,190,83
38,False,178,83
39,False,179,83
40,True,170,83
41,False,178,83
42,False,169,211
43,False,167,83
44,False,187,19
46,False,181,83
47,False,169,147
48,True,168,83
49,False,184,83
50,False,178,147
51,True,195,83
52,True,181,147
53,False,180,211
54,True,179,147
55,True,184,83
56,False,168,147
57,False,176,147
58,False,169,83
59,False,193,83
60,False,172,83
61,True,193,83
62,False,167,83
63,False,175,83
64,False,166,19
65,False,184,83
66,False,182,147
67,False,177,83
68,True,190,83
69,False,172,83
70,False,168,147
71,False,186,19
72,True,164,147
73,True,180,83
74,False,186,147
75,True,183,83
76,True,187,83
77,True,174,147
78,False,192,83
79,True,165,211
80,True,190,83
81,True,190,83
82,False,183,83
83,False,177,19
84,False,170,83
85,True,169,83
86,False,169,147
87,True,177,275
88,False,181,83
89,False,172,83
92,True,185,147
93,False,169,19
94,False,172,83
95,True,181,19
96,False,175,83
97,False,186,83
98,False,192,83
99,False,177,83
100,False,164,83
101,False,188,211
102,False,166,147
103,False,178,147
104,False,175,531
105,True,183,147
106,False,173,83
107,False,184,211
108,False,163,83
109,True,191,147
110,False,196,83
112,True,171,83
113,False,195,83
114,False,169,19
115,False,204,83
116,False,187,83
117,False,167,83
118,True,166,147
119,False,180,83
120,False,179,83
121,True,180,275
122,False,166,147
123,True,189,83
124,False,163,83
125,False,189,147
126,False,162,147
127,True,164,19
128,False,175,83
129,False,183,211
130,False,167,147
131,False,180,83
132,False,176,83
133,False,174,83
134,True,174,83
135,False,173,19
136,False,186,147
138,False,179,83
139,False,173,83
140,False,175,83
141,True,188,467
142,True,171,83
143,False,174,83
144,False,169,147
145,False,169,83
146,False,175,147
147,False,168,83
148,False,174,83
149,False,169,83
150,False,184,19
151,False,198,83
152,False,163,147
153,False,172,19
154,False,175,147
155,False,169,83
156,False,167,211
157,False,190,83
158,False,172,83
159,False,171,83
160,False,168,147
161,True,175,83
162,False,178,147
163,False,177,83
164,False,168,211
165,False,191,147
166,False,174,19
167,False,168,147
168,False,167,83
169,False,168,147
170,False,173,83
171,False,173,83
172,False,161,147
173,False,167,83
174,False,172,83
175,False,172,83
176,False,174,83
177,False,181,83
178,True,162,19
179,False,181,83
180,False,171,19
181,False,178,403
182,False,183,83
183,False,175,83
184,False,160,83
185,False,170,83
186,False,177,275
187,False,170,83
188,False,174,83
189,False,176,211
190,False,174,83
191,False,172,403
192,False,166,147
193,False,171,19
194,False,171,83
195,True,176,211
196,False,173,19
197,True,185,83
198,False,186,19
199,False,181,83
200,False,167,19
201,False,169,211
202,True,171,275
203,False,172,19
204,True,168,147
205,False,169,83
206,False,172,147
207,False,163,147
208,True,178,83
209,False,168,211
210,False,160,147
211,True,185,211
212,True,170,275
213,True,162,147
214,False,169,83
215,False,179,275
216,False,173,83
217,True,166,275
218,True,185,19
219,False,163,83
220,False,175,83
221,False,180,83
222,False,165,83
223,False,172,83
224,False,180,19
225,True,171,19
226,False,170,19
227,True,167,83
228,True,168,83
229,False,162,83
230,True,167,83
231,True,168,83
232,False,176,19
233,False,170,19
234,False,180,83
235,True,178,19
236,False,168,83
238,False,175,83
239,True,174,83
240,False,168,83
241,False,166,83
242,True,178,83
243,False,182,83
244,False,170,403
245,True,179,147
246,True,174,147
247,True,178,83
248,True,174,19
249,True,174,147
250,True,165,83
251,False,174,83
252,False,172,147
253,False,169,83
254,True,182,83
255,False,175,83
256,True,171,147
257,False,170,467
258,False,175,147
259,True,171,83
260,False,169,19
261,False,179,19
262,True,182,147
263,False,166,19
264,False,178,83
265,True,179,147
266,True,183,83
267,True,174,83
268,False,163,83
269,True,168,19
270,True,167,211
271,True,169,83
272,False,177,83
273,False,162,147
274,False,164,19
275,False,169,339
276,True,174,147
277,True,185,211
278,True,167,595
279,False,177,83
280,False,175,83
281,False,162,83
282,False,168,19
283,False,173,19
284,False,181,83
285,False,180,19
286,False,206,83
287,False,177,19
288,False,192,83
289,False,194,83
290,True,177,83
291,False,170,83
292,False,173,83
292,False,180,83
293,False,173,19
294,False,181,147
295,False,177,147
296,False,173,19
298,True,180,275
299,False,180,211
300,False,168,19
301,True,168,211
302,False,166,147
303,False,173,83
304,False,178,83
305,False,177,83
306,False,169,83
307,False,172,147
308,False,168,211
309,True,175,211
310,False,168,83
311,True,175,147
312,False,184,19
313,True,191,83
314,False,170,83
315,False,176,19
316,True,196,147
317,False,186,83
318,False,157,83
319,False,167,339
320,False,180,83
321,False,182,83
